iteration,seed,temperature,source_text,translated_text,timestamp
1,101,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan sunyi saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang berani. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:29 2025
1,101,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri, omong kosong*, adalah reaksi instan saya, yang sunyi. Mengapa Sybil tidak mempekerjakan saya untuk terlebih dahulu mengunjungi makamnya, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan menembak dirinya sendiri. Dell Teague telah dibunuh, sama seperti kekasihnya yang pemberani. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:33 2025
2,202,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan saya, yang terdiam dan tanpa suara. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang eksentrik. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:36 2025
2,202,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan saya, yang sunyi. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague dibunuh, sama seperti kekasihnya yang keras kepala. Saya membuka mata. Hollis Boxleitner telah berputar untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius seorang wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:39 2025
3,303,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri, omong kosong*, adalah reaksi instan, dan terdiam, saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan menembak dirinya sendiri. Dell Teague telah dibunuh, sama seperti kekasihnya yang keras kepala. Saya membuka mata. Hollis Boxleitner telah berputar untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:43 2025
3,303,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang eksentrik. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:46 2025
4,404,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan tanpa suara saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan menembak dirinya sendiri. Dell Teague telah dibunuh, sama seperti kekasihnya yang berani. Saya membuka mata. Hollis Boxleitner berbalik untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:49 2025
4,404,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan saya, yang sunyi. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang penuh semangat. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:53 2025
5,505,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan saya, yang terdiam dan tanpa suara. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang bengal. Saya membuka mata. Hollis Boxleitner telah berputar untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. “Tidak ada bunuh diri di sini,” kataku.",Fri Oct 17 21:37:56 2025
5,505,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan saya, yang sunyi. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang pemberani. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:37:59 2025
